Date,Open,High,Low,Close,Currency
2011-07-12,1.5775,1.5856,1.5722,1.579,BRL
2011-07-13,1.5816,1.5839,1.5677,1.5715,BRL
2011-07-14,1.5745,1.5802,1.5688,1.5765,BRL
2011-07-15,1.5755,1.5801,1.5715,1.5741,BRL
2011-07-18,1.5738,1.5846,1.5733,1.5766,BRL
2011-07-19,1.5771,1.58,1.5623,1.566,BRL
2011-07-20,1.5664,1.5687,1.5571,1.5649,BRL
2011-07-21,1.565,1.5658,1.5513,1.5522,BRL
2011-07-22,1.5523,1.5598,1.5507,1.5517,BRL
2011-07-25,1.5532,1.5564,1.5358,1.5397,BRL
2011-07-26,1.5408,1.542,1.528,1.5378,BRL
2011-07-27,1.5378,1.5721,1.5383,1.5545,BRL
2011-07-28,1.5553,1.571,1.5532,1.5665,BRL
2011-07-29,1.5665,1.5738,1.5465,1.5485,BRL
2011-08-01,1.5496,1.5668,1.545,1.5661,BRL
2011-08-02,1.5661,1.5753,1.5605,1.5655,BRL
2011-08-03,1.5655,1.5698,1.5587,1.5616,BRL
2011-08-04,1.5616,1.5899,1.5607,1.5868,BRL
2011-08-05,1.5868,1.6018,1.5755,1.5754,BRL
2011-08-08,1.5874,1.6273,1.5864,1.626,BRL
2011-08-09,1.626,1.6585,1.5856,1.5886,BRL
2011-08-10,1.5886,1.6316,1.5894,1.6225,BRL
2011-08-11,1.622,1.642,1.6149,1.6267,BRL
2011-08-12,1.6268,1.6282,1.6026,1.6104,BRL
2011-08-15,1.6125,1.614,1.5873,1.5875,BRL
2011-08-16,1.5896,1.6031,1.5841,1.5892,BRL
2011-08-17,1.5897,1.5914,1.5776,1.5883,BRL
2011-08-18,1.5883,1.6122,1.5878,1.5982,BRL
2011-08-19,1.5991,1.6059,1.5892,1.5993,BRL
2011-08-22,1.597,1.6083,1.5858,1.6068,BRL
2011-08-23,1.6076,1.6084,1.5923,1.5963,BRL
2011-08-24,1.5958,1.6151,1.5966,1.6127,BRL
2011-08-25,1.6137,1.618,1.6023,1.6089,BRL
2011-08-26,1.6096,1.6162,1.6001,1.6026,BRL
2011-08-29,1.6037,1.6042,1.5898,1.5907,BRL
2011-08-30,1.5907,1.5988,1.5831,1.5958,BRL
2011-08-31,1.5948,1.6027,1.5807,1.5887,BRL
2011-09-01,1.5887,1.6214,1.5887,1.6195,BRL
2011-09-02,1.6195,1.6478,1.6191,1.641,BRL
2011-09-05,1.6566,1.6601,1.644,1.6447,BRL
2011-09-06,1.6425,1.6668,1.6415,1.6545,BRL
2011-09-07,1.6543,1.655,1.654,1.6535,BRL
2011-09-08,1.6538,1.663,1.6502,1.659,BRL
2011-09-09,1.659,1.6848,1.6579,1.672,BRL
2011-09-12,1.6742,1.7273,1.6747,1.7032,BRL
2011-09-13,1.7029,1.7208,1.7014,1.7095,BRL
2011-09-14,1.7094,1.7389,1.7075,1.7135,BRL
2011-09-15,1.7135,1.7199,1.6975,1.7045,BRL
2011-09-16,1.704,1.7382,1.7048,1.7322,BRL
2011-09-19,1.7323,1.7999,1.732,1.7992,BRL
2011-09-20,1.7992,1.8023,1.7673,1.7851,BRL
2011-09-21,1.7852,1.8916,1.7854,1.8833,BRL
2011-09-22,1.8724,1.9499,1.812,1.9028,BRL
2011-09-23,1.9038,1.9243,1.8231,1.8322,BRL
2011-09-26,1.833,1.8662,1.8107,1.822,BRL
2011-09-27,1.8215,1.8235,1.7924,1.8037,BRL
2011-09-28,1.8037,1.8447,1.7985,1.8367,BRL
2011-09-29,1.8368,1.8569,1.8221,1.842,BRL
